spkid,pdes,full_name,neo,pha,H,epoch,e,a,q,i,om,w,ma,tp,per_y,moid,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,condition_code,n_obs_used,data_arc
20417634,417634,417634 (2006 XG1),Y,Y,18.57,2461200.5,0.595548561392681,2.458081691824477,0.9941746764727224,20.49398479543541,38.44945290303436,344.1599771279793,25.69557930846194,2461100.0271300953,3.85391977954034,0.014518,1.5743e-07,6.0923e-08,3.9997e-07,1.7837e-05,5.0293e-05,7.3747e-05,7.08e-05,0.0,171,2956.0
20417816,417816,417816 (2007 FA),Y,Y,20.27,2461200.5,0.2657393673596131,1.250122087827084,0.917915435085636,16.33101260870194,156.385955730175,135.4659704810185,195.3364759310827,2461434.018866962,1.39777363712709,0.0285272,3.8161e-08,1.7774e-09,4.7399e-08,4.4244e-06,1.6519e-05,1.9916e-05,1.2079e-05,0.0,199,9147.0
20417871,417871,417871 (2007 MB24),Y,Y,18.34,2461200.5,0.6999941050191748,1.876075887897917,0.5628338258007609,47.70710504431259,271.0963979088476,269.1171810770018,159.082116562566,2460785.7437976166,2.56970816765515,0.0274694,5.6268e-08,6.1229e-09,1.0555e-07,2.3122e-05,1.0541e-05,1.1014e-05,9.3885e-06,0.0,401,13202.0
20417949,417949,417949 (2007 TB23),Y,Y,18.81,2461200.5,0.1976768104983108,1.261995314524148,1.012528105885202,38.289676627832,40.09349311007565,173.862922213926,230.1618500399219,2461387.2604271285,1.41773420005952,0.00630914,1.3198e-07,2.1421e-09,1.6626e-07,2.0235e-05,6.4464e-06,2.1574e-05,2.8574e-05,0.0,409,6315.0
20418094,418094,418094 (2007 WV4),Y,Y,19.65,2461200.5,0.4407516488126948,1.486407060680792,0.8312706978789018,38.34024388600169,249.8559660557664,297.6401696320706,16.82486026105499,2461169.564721412,1.81223636848083,0.0173348,1.9832e-08,4.4548e-09,2.9674e-08,1.5421e-06,7.3252e-07,4.0602e-06,8.3011e-06,0.0,399,6639.0
20418135,418135,418135 (2008 AG33),Y,Y,19.37,2461200.5,0.3365733891257658,1.4588140514024,0.9678160620176048,16.00756484890436,38.28251618017344,155.537393120332,132.2397150031994,2460964.0944122584,1.76200894570537,0.0156412,2.8336e-08,1.1232e-08,3.5179e-08,6.5993e-06,9.8193e-06,1.5022e-05,1.3102e-05,0.0,171,7681.0
20418416,418416,418416 (2008 LV16),Y,Y,20.29,2461200.5,0.6251872891684084,2.089454415271019,0.7831540735467689,4.714591613899247,236.4775937325001,121.9449288963265,321.2272345081273,2461319.3152143094,3.02035195586261,0.00617639,1.6066e-08,2.8782e-09,3.3345e-08,5.9345e-06,4.8813e-05,4.8753e-05,5.1338e-06,0.0,395,6567.0
20418849,418849,418849 (2008 WM64),Y,Y,20.47,2461200.5,0.106414547458489,1.006029302030689,0.898973149125114,33.52199837645982,91.4279960258622,256.7987572893255,232.0414575573876,2461331.5029743183,1.00907662921657,0.0347822,5.3856e-08,3.7351e-10,5.4301e-08,1.2867e-05,1.1346e-06,3.1064e-06,9.4015e-06,0.0,332,5526.0
20419472,419472,419472 (2010 DW1),Y,Y,19.97,2461200.5,0.2001960207082732,1.224998827925266,0.9797589372023294,23.76766875377544,157.106599847952,9.649976012178191,2.614205055121737,2461196.9038393386,1.35585020782838,0.00778723,4.9681e-08,2.2942e-09,6.0226e-08,7.7208e-06,6.1136e-06,1.5919e-05,2.1201e-05,0.0,385,8428.0
20419624,419624,419624 (2010 SO16),Y,Y,20.44,2461200.5,0.0754213870642147,1.004000987019211,0.9282778399643814,14.51303710963417,40.33953074010562,109.2435358907266,70.41053055924246,2461128.63213347,1.00602647954473,0.0302222,8.1966e-08,6.0425e-09,8.4622e-08,2.0074e-05,2.4661e-05,5.3354e-05,6.3649e-05,0.0,350,4472.0
